,precision,recall,f1-score,support
0,0.9411764705882353,0.6666666666666666,0.7804878048780488,24.0
1,0.7794871794871795,0.9806451612903225,0.8685714285714285,155.0
2,0.0,0.0,0.0,16.0
3,0.0,0.0,0.0,34.0
4,0.6321243523316062,0.8970588235294118,0.7416413373860182,136.0
5,0.6111111111111112,0.21568627450980393,0.3188405797101449,51.0
6,0.4189189189189189,0.5081967213114754,0.45925925925925926,61.0
7,0.6111111111111112,0.3333333333333333,0.43137254901960786,33.0
8,0.958904109589041,0.8974358974358975,0.9271523178807947,78.0
accuracy,0.7023809523809523,0.7023809523809523,0.7023809523809523,0.7023809523809523
macro avg,0.5503148059041337,0.49989143089743465,0.5030361418561448,588.0
weighted avg,0.6480604897399005,0.7023809523809523,0.6548509522491911,588.0
